New York,Phoenix,Austin
21.2254,16.3438,19.2397
21.3435,15.7217,19.6307
21.1095,16.6524,18.9596
21.3031,16.4245,19.0455
21.5166,16.3863,19.4454
21.3997,15.9727,18.8853
21.6926,16.0443,19.3529
21.6307,16.0716,18.9863
21.2872,16.0588,19.0801
22.0598,16.2559,18.997
21.0669,16.8095,18.7411
21.7083,16.6618,19.3922
21.6864,16.2464,19.0814
21.4668,16.403,19.4648
21.093,16.2384,19.2375
20.9797,16.6831,19.5506
21.2657,16.2078,18.6816
21.752,16.0323,19.4426
21.6027,16.7802,19.0337
21.6348,16.5996,19.2069
21.8668,16.2146,19.1509
21.7344,15.9372,19.2285
21.3158,16.4624,18.9833
21.8175,16.3313,19.141
21.3291,16.3631,18.7663
21.0081,16.2633,18.8226
21.4195,16.1819,18.5593
21.1501,16.2853,19.3009
21.9823,16.5653,19.7987
21.8072,15.8652,18.8727
21.5979,16.445,19.3819
21.4516,16.3521,19.2216
21.7378,16.4923,18.5807
21.4122,16.4636,19.0234
21.6543,16.8478,19.1086
21.9319,16.3104,19.0147
22.2327,16.3069,18.9004
21.3323,16.4518,19.184
21.5268,16.379,18.7164
21.6169,16.6169,19.3748
21.9006,16.4984,19.0184
21.5276,16.1651,19.1343
21.4277,16.125,19.4897
21.5512,16.3017,18.9383
21.3724,16.6996,18.6601
21.4931,16.1233,18.9285
21.5883,16.133,19.4268
21.6097,16.2036,18.8604
22.0998,16.022,19.3595
21.2314,16.2766,19.3124
21.2565,16.3987,19.2736
21.4596,16.5059,19.0635
21.2003,16.7502,19.2466
21.829,15.9947,18.691
21.8825,16.3633,18.8516
21.2444,16.3491,19.115
21.4852,16.0847,19.3208
22.3418,16.7081,19.471
21.1849,16.4164,19.5673
21.6993,16.2236,19.3272
21.0564,16.5523,19.1951
21.7734,16.1021,19.3446
21.5597,16.6329,19.6048
21.4417,16.5305,19.4018
20.8972,16.8939,19.1279
21.3493,16.3222,19.7056
21.9071,16.3356,19.5263
21.7173,16.2424,19.5063
21.6694,16.1977,19.0399
21.5374,16.1484,18.8321
21.1643,16.1705,19.8936
20.399,16.4373,19.0718
22.0112,16.589,19.2081
21.3768,16.1127,18.8755
21.6497,16.5201,19.1644
21.9563,16.5378,19.2893
21.4043,15.9767,19.2635
21.5684,16.409,19.116
21.5112,16.2962,19.1786
21.5537,16.2263,18.9222
21.2992,16.5484,18.7895
21.8563,16.3886,19.0909
20.86,16.4814,19.0064
21.2803,16.4189,18.9719
21.2146,16.3173,19.1682
22.1418,16.4321,19.2835
21.1476,16.6261,18.5072
21.4395,16.5862,18.9569
21.473,16.7205,18.9476
21.7996,16.2718,19.1551
21.6628,16.4866,18.9083
21.5759,16.5152,19.6398
21.7845,16.2836,18.7788
21.3881,16.9839,18.8141
21.359,16.472,19.1932
21.4971,16.1526,19.0971
20.9466,16.189,19.0552
21.7665,16.5729,19.3011
21.122,15.8985,19.2571
22.0404,16.3719,19.4186
