Source,Buoy Number,City,State,Country,Distance to Shore,Depth,Latitude,Longitude,Time Zone,,,,,,,,,,,,
NDBC,46244,Eureka,CA,USA,5000,70,40.896 N,124.357 W,-7,,,,,,,,,,,,
Hs/Te,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
0.25,0,0,0,0,0,0,0,0.019579945,0.033938571,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0.019579945,0.464697359,1.486770484,2.681147124,1.905781305,1.104308893,0.533879831,0.170998186,0.015663956,0,0,0,0,0,0,0,0
1.25,0,0,0,0,0.013053297,0.588703677,4.106567114,5.558093697,4.478586067,2.735970969,1.276612408,0.673550105,0.327637745,0.067877142,0.018274615,0.016969286,0,0,0,0,0
1.75,0,0,0,0,0,0.118784999,3.269850801,5.140388205,4.624782989,3.92643162,2.108107403,1.236147189,0.762312522,0.30936313,0.096594395,0.028717253,0,0,0,0,0
2.25,0,0,0,0,0,0,0.918952081,5.250035897,3.675808325,4.139200355,2.865198606,1.31055098,0.843242961,0.42292681,0.198410108,0.07570912,0.019579945,0,0,0,0
2.75,0,0,0,0,0,0,0.137059614,2.427913169,2.596300696,2.818206738,2.846923991,1.566395593,0.796251093,0.317195108,0.144891592,0.056129175,0.018274615,0,0,0,0
3.25,0,0,0,0,0,0,0,0.445117414,1.542899659,1.469801198,1.959299821,1.420198671,0.789724445,0.318500437,0.107037032,0.040465219,0.019579945,0.011747967,0.010442637,0,0
3.75,0,0,0,0,0,0,0,0.048297197,0.490803953,0.629168897,1.07689697,1.006409169,0.627863567,0.291088514,0.101815714,0.048297197,0.018274615,0,0,0,0
4.25,0,0,0,0,0,0,0,0,0.093983736,0.208852746,0.449033403,0.558681095,0.416400162,0.211463405,0.067877142,0.023495934,0.020885275,0,0,0,0
4.75,0,0,0,0,0,0,0,0,0.019579945,0.082235769,0.121395658,0.263676592,0.266287251,0.186662142,0.071793131,0.023495934,0.010442637,0,0,0,0
5.25,0,0,0,0,0,0,0,0,0,0.027411923,0.027411923,0.105731703,0.151418241,0.130532966,0.070487802,0.020885275,0,0,0,0,0
5.75,0,0,0,0,0,0,0,0,0,0,0,0.022190604,0.073098461,0.054823846,0.045686538,0.018274615,0,0,0,0,0
6.25,0,0,0,0,0,0,0,0,0,0,0,0,0.032633242,0.040465219,0.020885275,0.011747967,0,0,0,0,0
6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020885275,0.018274615,0,0,0,0,0,0
7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
