Name,Interconnect Description,Number of Components,Components
Units,-,-,-
[0],intc_desc,intc_n_cpnts,intc_cpnts
I#0,Interconnect #0,5,w1-p3-v1-p3-t1
I#1,Interconnect #1,11,p2-l1-c1-f1-l2-p1-l2-f1-l3-f1-e1
I#2,Interconnect #2,11,c1-f1-l3-f1-l2-p1-l2-f1-l3-f1-e1
I#3,Interconnect #3,11,c1-f1-l3-f1-l2-p1-l2-f1-l3-f1-e1
I#4,Interconnect #4,11,c1-f1-l3-f1-l2-p1-l2-f1-l3-f1-e1
I#5,Interconnect #5,11,c1-f1-l3-f1-l2-p1-l2-f1-l3-f1-e1
I#6,Interconnect #6,11,c1-f1-l3-f1-l2-p1-l2-f1-l3-f1-e1
I#7,Interconnect #7,11,c1-f1-l3-f1-l2-p1-l2-f1-l3-f1-e1
I#8,Interconnect #8,11,c1-f1-l3-f1-l2-p1-l2-f1-l3-f1-e1
I#9,Interconnect #9,11,c1-f1-l3-f1-l2-p1-l2-f1-e1-l1-p2
I#10,Interconnect #10,5,t1-p3-v1-p3-w1
